Settings,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns,alns_e,alns_g,alns_u,no-alns
,Time,Time,Time,Time,Nodes,Nodes,Nodes,Nodes,PInt,PInt,PInt,PInt,Status,Status,Status,Status,LP_Iterations_dualLP,LP_Iterations_dualLP,LP_Iterations_dualLP,LP_Iterations_dualLP,NodesQ,NodesQ,NodesQ,NodesQ,TimeQ+10,TimeQ+10,TimeQ+10,TimeQ+10,PIntQ+1000,PIntQ+1000,PIntQ+1000,PIntQ+1000
ProblemName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neos-937815,7200.0,7200.0,7200.0,7200.0,8600.0,9010.0,9905.0,8779.0,9310.484582851304,9239.9601306927,11023.437659486823,9278.427723510998,timelimit,timelimit,timelimit,timelimit,4731568.0,5324437.0,5415779.0,4835232.0,0.9796104339902039,1.0263127918897368,1.1282606219387175,1.0,1.0,1.0,1.0,1.0,1.003118848544022,0.9962574438568744,1.1697740143644992,1.0
neos-941262,7200.0,7200.0,7200.0,7200.0,8351.0,8351.0,8351.0,8351.0,36301.44452981254,36577.79826188167,36150.39454599433,36337.623104318925,timelimit,timelimit,timelimit,timelimit,8997771.0,8997771.0,8997771.0,8997771.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9990310423776763,1.0064325240225311,0.9949855255166754,1.0
neos-941717,7200.0,7200.0,7200.0,7200.0,860852.0,845728.0,865689.0,860044.0,2005.3408029878617,1989.7478991596638,1905.9757236227824,1925.611577964519,timelimit,timelimit,timelimit,timelimit,85079831.0,83560369.0,85541482.0,85000618.0,1.0009394868169537,0.9833543400105111,1.0065636176753747,1.0,1.0,1.0,1.0,1.0,1.0272521566512307,1.0219223637471955,0.9932882907322242,1.0
neos-941782,7200.0,7200.0,7200.0,7200.0,1225340.0,1224836.0,1225231.0,1227344.0,2095.1176699919733,2107.1917440660477,2098.015273477812,2093.941199403738,timelimit,timelimit,timelimit,timelimit,77339382.0,77316005.0,77333910.0,77447972.0,0.9983672059341147,0.9979565631151495,0.9982783962768385,1.0,1.0,1.0,1.0,1.0,1.000380249821316,1.0042827396541547,1.0013167910478904,1.0
neos-948126,7200.0,7200.0,7200.0,7200.0,5241.0,5237.0,5237.0,5244.0,62398.809536727334,62395.505119768444,62449.05749095037,62354.274894014394,timelimit,timelimit,timelimit,timelimit,6408981.0,6406820.0,6405884.0,6411809.0,0.9994279176201373,0.9986651411136537,0.9986651411136537,1.0,1.0,1.0,1.0,1.0,1.0007029461356387,1.000650788377312,1.0014960726343176,1.0
neos-948346,7200.0,7200.0,7200.0,7200.0,14086.0,7939.0,7456.0,15969.0,27596.52899824253,35311.07029876976,34850.26405975393,33226.23066783831,timelimit,timelimit,timelimit,timelimit,3706351.0,3718642.0,4868890.0,4063361.0,0.8820840378232826,0.49715072953848083,0.4669046277162001,1.0,1.0,1.0,1.0,1.0,0.8355149965466138,1.060913503773307,1.0474499633826664,1.0
neos-952987,7200.0,7200.0,7200.0,7200.0,196.0,206.0,206.0,206.0,720003.0,720001.0,720121.0,720000.0,timelimit,timelimit,timelimit,timelimit,1897017.0,1948932.0,1948932.0,1948932.0,0.9514563106796117,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000004160887656,1.000001386962552,1.0001678224687933,1.0
neos-983171,7200.0,7200.0,7200.0,7200.0,2975.0,4193.0,2979.0,4203.0,33111.21205574556,35171.337477028224,32832.35980252882,34935.190037714856,timelimit,timelimit,timelimit,timelimit,7544969.0,7917186.0,7556525.0,7953283.0,0.707827742088984,0.9976207470854151,0.708779443254818,1.0,1.0,1.0,1.0,1.0,0.949242567520723,1.0065714815774043,0.9414827016921558,1.0
neos-984165,7200.0,7200.0,7200.0,7200.0,3330.0,3650.0,3858.0,4444.0,74073.05607618307,104586.51740913045,85280.15472569123,81328.69322732085,timelimit,timelimit,timelimit,timelimit,6884755.0,6827037.0,7230790.0,7818343.0,0.7493249324932493,0.8213321332133213,0.8681368136813682,1.0,1.0,1.0,1.0,1.0,0.9118698856168654,1.2824996155057575,1.0479961644412337,1.0
neos16,7200.0,7200.0,7200.0,7200.0,4635322.0,4638087.0,4611485.0,4599669.0,2173.5813972099454,2153.7146333196097,2184.159278825247,2153.3386839420564,timelimit,timelimit,timelimit,timelimit,49934359.0,49962624.0,49682228.0,49552558.0,1.0077512099240185,1.0083523401357792,1.0025688804998794,1.0,1.0,1.0,1.0,1.0,1.0064194542029286,1.000119222644706,1.0097739564228037,1.0
newdano,7200.0,7200.0,7200.0,7200.0,1524749.0,1543034.0,1553252.0,1545105.0,2696.374788484606,2651.5341435683167,2632.75480728443,2654.9185270554735,timelimit,timelimit,timelimit,timelimit,95377345.0,96546031.0,97225763.0,96684822.0,0.9868254908242482,0.9986596380181282,1.005272780814249,1.0,1.0,1.0,1.0,1.0,1.011342595224012,0.999074019444728,0.993935919608884,1.0
nobel-eu-DBE,7200.0,7200.0,7200.0,7200.0,878220.0,876152.0,881948.0,885484.0,720000.0,720000.0,720000.0,720000.0,timelimit,timelimit,timelimit,timelimit,21710547.0,21663040.0,21792131.0,21869933.0,0.9917965767873841,0.989461130861766,0.9960067036784402,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
